SNo,Name,Symbol,Month,Day,Year,High,Low,Open,Close,Volume,Marketcap
2443,XRP,XRP,4,12,2020,0.193848171,0.18761679,0.188228828,0.190134754,2087857417,8361929949
2444,XRP,XRP,4,13,2020,0.190532901,0.181807587,0.190532901,0.187732172,2253497429,8273953308
2445,XRP,XRP,4,14,2020,0.188985199,0.184261787,0.187808209,0.185335311,1889687587,8168316007
2446,XRP,XRP,4,15,2020,0.189265729,0.181154708,0.185359993,0.181269596,1963736221,7989127042
2447,XRP,XRP,4,16,2020,0.191234599,0.177413711,0.181254209,0.190104356,2610251456,8381628981
2448,XRP,XRP,4,17,2020,0.192005789,0.187613954,0.190252068,0.190201675,1887808776,8385919739
2449,XRP,XRP,4,18,2020,0.19535633,0.189819992,0.189910979,0.194924681,1918245143,8594155313
2450,XRP,XRP,4,19,2020,0.19634398,0.190793197,0.195003627,0.190859077,1904866741,8414904361
2451,XRP,XRP,4,20,2020,0.194899579,0.181830836,0.190820969,0.183490041,2364973860,8090006361
2452,XRP,XRP,4,21,2020,0.185643609,0.182762085,0.183336895,0.184328133,1912728846,8126957533
2453,XRP,XRP,4,22,2020,0.189675644,0.183120018,0.18417502,0.187970355,1783803231,8287541721
2454,XRP,XRP,4,23,2020,0.194790038,0.186765936,0.18788864,0.191710924,2271111354,8452461961
2455,XRP,XRP,4,24,2020,0.196721593,0.191709572,0.191875963,0.193664915,1853837706,8538612711
2456,XRP,XRP,4,25,2020,0.196544572,0.193140066,0.193684524,0.195053679,1648491142,8599842766
2457,XRP,XRP,4,26,2020,0.197214728,0.19450428,0.195033072,0.196805287,1692427521,8677070504
2458,XRP,XRP,4,27,2020,0.19927549,0.195437026,0.196700373,0.197978158,1792695610,8733381417
2459,XRP,XRP,4,28,2020,0.21810785,0.196371688,0.198046185,0.215484046,2515531348,9505616088
2460,XRP,XRP,4,29,2020,0.229626594,0.213436158,0.215562094,0.22743245,3041995823,10032694258
2461,XRP,XRP,4,30,2020,0.235703134,0.211576718,0.227169413,0.212760619,3145263527,9385477916
2462,XRP,XRP,5,1,2020,0.224770796,0.212794558,0.212857621,0.219247692,2306876493,9671641236
2463,XRP,XRP,5,2,2020,0.225605542,0.217247667,0.219274911,0.223913812,2170661654,9877477086
2464,XRP,XRP,5,3,2020,0.226339732,0.217737358,0.224064474,0.219414284,2182399826,9678990068
2465,XRP,XRP,5,4,2020,0.22060773,0.210597652,0.219450888,0.218963313,2462194723,9659096485
2466,XRP,XRP,5,5,2020,0.221751714,0.215441015,0.218909857,0.216462643,2104127661,9548784765
2467,XRP,XRP,5,6,2020,0.222338279,0.21521029,0.216283851,0.21521029,2159327467,9493539897
2468,XRP,XRP,5,7,2020,0.220939029,0.213039553,0.215492362,0.218917301,2582702615,9657066730
2469,XRP,XRP,5,8,2020,0.221909437,0.215489041,0.218837137,0.219827198,2460030844,9697204907
2470,XRP,XRP,5,9,2020,0.224728488,0.216802706,0.219663265,0.216902232,2543805062,9568176317
2471,XRP,XRP,5,10,2020,0.217133341,0.190549494,0.217133341,0.198175896,3067472277,8742104206
2472,XRP,XRP,5,11,2020,0.200186265,0.188483269,0.198162168,0.194063837,2470709527,8560709529
2473,XRP,XRP,5,12,2020,0.199801497,0.192729319,0.19424128,0.19763735,2056508741,8718347383
2474,XRP,XRP,5,13,2020,0.203411233,0.196607084,0.197561001,0.201480323,1947109951,8887871910
2475,XRP,XRP,5,14,2020,0.204585989,0.199653088,0.20134119,0.203129221,2154131805,8960609479
